Daily site usage,Age,Area income,Daily internet usage,Ad topic line,City,Male,Country,Timestamp,Clicked
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,0,Portugal,01/01/2016 2:52,0
68.01,25,68357.96,188.32,Ameliorated actuating workforce,Kaylashire,1,Afghanistan,01/01/2016 3:35,0
80.94,36,60803,239.94,Self-enabling local strategy,North Tiffany,0,Bermuda,01/01/2016 5:31,0
78.77,28,63497.62,211.83,Public-key intangible Graphical User Interface,Gomezport,0,Guam,01/01/2016 8:27,0
36.56,29,42838.29,195.89,Team-oriented bi-directional secured line,West Ryan,0,Uganda,01/01/2016 15:14,1
46.61,42,65856.74,136.18,Progressive intermediate throughput,Catherinefort,0,Ethiopia,01/01/2016 20:17,1
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,01/01/2016 21:58,0
79.36,33,62330.75,234.72,Cross-platform directional intranet,East Susanland,1,Gambia,02/01/2016 4:50,0
81.21,36,63394.41,233.04,User-friendly content-based customer loyalty,South Jaimeview,0,Turkmenistan,02/01/2016 9:30,0
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,1,Tonga,02/01/2016 14:36,0
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,03/01/2016 3:22,1
35.25,50,47051.02,194.44,Intuitive global website,Waltertown,0,Iran,03/01/2016 4:39,1
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,03/01/2016 5:34,1
65.07,24,57545.56,233.85,Multi-lateral multi-state encryption,Port Raymondfort,0,Mali,03/01/2016 7:13,0
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,0,Cuba,03/01/2016 16:01,1
76.58,46,41884.64,258.26,Secured 24hour policy,West Sydney,0,Uzbekistan,03/01/2016 16:30,0
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,1,Zambia,03/01/2016 17:10,0
72.8,35,63551.67,249.54,Public-key solution-oriented focus group,Austinland,0,Puerto Rico,03/01/2016 23:21,0
48.86,35,62463.7,128.37,Universal empowering adapter,Elizabethbury,1,Saint Martin,04/01/2016 0:44,1
83.16,41,70185.06,194.95,Decentralized 24hour approach,Robinsonland,0,Finland,04/01/2016 4:00,0
73.88,29,63109.74,233.61,Digitized zero-defect implementation,Kennethview,0,Saint Helena,04/01/2016 6:37,0
66.89,23,64433.99,208.24,Universal incremental array,Sandersland,1,Honduras,04/01/2016 7:28,0
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,04/01/2016 21:48,1
83.91,29,53223.58,222.87,Distributed bifurcated challenge,Haleberg,0,Burundi,04/01/2016 22:27,0
46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,05/01/2016 0:02,1
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,05/01/2016 4:18,1
76.44,26,58820.16,224.2,Distributed intangible database,Troyville,1,Madagascar,05/01/2016 6:34,0
